Tariff Item,Harmonized System (HS) Heading,Indicative Description
1602.32.11,"Other prepared or preserved meat, meat offal, blood or insects.",Of poultry of heading 01.05: Of fowls of the species Gallus domesticusPrepared meals: Of spent fowl; Specially defined mixtures
1602.32.12,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusPrepared meals: Other, within access commitment"
1602.32.13,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusPrepared meals: Other, over access commitment, bone in"
1602.32.14,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusPrepared meals: Other, over access commitment, boneless"
1602.32.91,"Other prepared or preserved meat, meat offal, blood or insects.",Of poultry of heading 01.05: Of fowls of the species Gallus domesticusOther: In cans or glass jars
1602.32.92,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusOther: Specially defined mixtures, other than in cans or glass jars; Spent fowl other than in cans or glass jars"
1602.32.93,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusOther: Other, within access commitment"
1602.32.94,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusOther: Other, over access commitment, bone in"
1602.32.95,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: Of fowls of the species Gallus domesticusOther: Other, over access commitment, boneless"
1602.39.10,"Other prepared or preserved meat, meat offal, blood or insects.",Of poultry of heading 01.05: OtherPrepared meals
1602.39.91,"Other prepared or preserved meat, meat offal, blood or insects.","Of poultry of heading 01.05: OtherOther: Of ducks, geese or guinea fowls, in cans or glass jars"
1602.39.99,"Other prepared or preserved meat, meat offal, blood or insects.",Of poultry of heading 01.05: OtherOther: Other
1605.21.00,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved.",Shrimps and prawns: Not in airtight container
1701.12.10,"Cane or beet sugar and chemically pure sucrose, in solid form.",Raw sugar not containing added flavouring or colouring matter: Beet sugarFor use by sugar refineries in the production of refined sugar used in the manufacture of wine
1701.12.90,"Cane or beet sugar and chemically pure sucrose, in solid form.",Raw sugar not containing added flavouring or colouring matter: Beet sugarOther
1701.13.10,"Cane or beet sugar and chemically pure sucrose, in solid form.",Raw sugar not containing added flavouring or colouring matter: Cane sugar specified in Subheading Note 2 to this ChapterFor use by sugar refineries in the production of refined sugar used in the manufacture of wine
1701.13.90,"Cane or beet sugar and chemically pure sucrose, in solid form.",Raw sugar not containing added flavouring or colouring matter: Cane sugar specified in Subheading Note 2 to this ChapterOther
1701.14.00,"Cane or beet sugar and chemically pure sucrose, in solid form.",Raw sugar not containing added flavouring or colouring matter: Other cane sugar
1701.91.90,"Cane or beet sugar and chemically pure sucrose, in solid form.",Other: Containing added flavouring or colouring matterOther
1701.99.90,"Cane or beet sugar and chemically pure sucrose, in solid form.",Other: OtherOther
1702.20.00,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel.",Maple sugar and maple syrup
1703.10.10,Molasses resulting from the extraction or refining of sugar.,Cane molassesPowder with admixture other than colouring or anti-caking agents
1703.10.90,Molasses resulting from the extraction or refining of sugar.,Cane molassesOther
1703.90.10,Molasses resulting from the extraction or refining of sugar.,OtherPowder with admixture other than colouring or anti-caking agents
1703.90.90,Molasses resulting from the extraction or refining of sugar.,OtherOther
1704.10.00,"Sugar confectionery (including white chocolate), not containing cocoa.","Chewing gum, whether or not sugar-coated"
1704.90.10,"Sugar confectionery (including white chocolate), not containing cocoa.",OtherChestnut cream or paste
1704.90.20,"Sugar confectionery (including white chocolate), not containing cocoa.",OtherLiquorice candy;  Toffee
1704.90.90,"Sugar confectionery (including white chocolate), not containing cocoa.",OtherOther
1806.20.22,Chocolate and other food preparations containing cocoa.,"Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kgChocolate ice cream mix or ice milk mix: Over access commitment"
1806.31.00,Chocolate and other food preparations containing cocoa.,"Other, in blocks, slabs or bars: Filled"
1806.90.12,Chocolate and other food preparations containing cocoa.,OtherChocolate ice cream mix or ice milk mix: Over access commitment
1806.90.90,Chocolate and other food preparations containing cocoa.,OtherOther
1901.20.12,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","Mixes and doughs for the preparation of bakers' wares of heading 19.05In packages of a weight not exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, over access commitment"
1901.20.22,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","Mixes and doughs for the preparation of bakers' wares of heading 19.05In bulk or in packages of a weight exceeding 11.34 kg each: Containing more than 25% by weight of butterfat, not put up for retail sale, over access commitment"
1901.90.32,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","OtherFood preparations of goods of headings 04.01 to 04.04, containing more than 10% but less than 50% on a dry weight basis of milk solids: Ice cream mixes or ice milk mixes, over access commitment"
1901.90.34,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","OtherFood preparations of goods of headings 04.01 to 04.04, containing more than 10% but less than 50% on a dry weight basis of milk solids: Other, not put up for retail sale, over access commitment"
1901.90.52,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","OtherFood preparations of goods of headings 04.01 to 04.04, containing 50% or more on a dry weight basis of milk solids: Ice cream mixes or ice milk mixes, over access commitment"
1901.90.54,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included.","OtherFood preparations of goods of headings 04.01 to 04.04, containing 50% or more on a dry weight basis of milk solids: Other, not put up for retail sale, over access commitment"
1902.11.10,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: Containing eggsContaining 25% or more by weight of wheat, within access commitment"
1902.11.21,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: Containing eggsContaining 25% or more by weight of wheat, over access commitment: In packages of a weight not exceeding 2.3 kg each"
1902.11.29,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: Containing eggsContaining 25% or more by weight of wheat, over access commitment: Other"
1902.11.90,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: Containing eggsOther"
